artifact,f1_min,f2_min,node_id_min,f1_max,f2_max,node_id_max,f1_mean,f2_mean
artifact1028,1328,1328,node1,1328,1328,node3,1328,1328
artifact1029,1329,1329,node1,1329,1329,node3,1329,1329
artifact103,403,403,node1,403,403,node3,403,403
artifact1030,1330,1330,node1,1330,1330,node3,1330,1330
artifact1031,1331,1331,node1,1331,1331,node3,1331,1331
artifact1032,1332,1332,node1,1332,1332,node3,1332,1332
artifact1033,1333,1333,node1,1333,1333,node3,1333,1333
artifact1034,1334,1334,node1,1334,1334,node3,1334,1334
artifact1035,1335,1335,node1,1335,1335,node3,1335,1335
artifact1036,1336,1336,node1,1336,1336,node3,1336,1336
artifact1037,1337,1337,node1,1337,1337,node3,1337,1337
artifact1038,1338,1338,node1,1338,1338,node3,1338,1338
artifact1039,1339,1339,node1,1339,1339,node3,1339,1339
artifact104,404,404,node1,404,404,node3,404,404
artifact1040,1340,1340,node1,1340,1340,node3,1340,1340
artifact1041,1341,1341,node1,1341,1341,node3,1341,1341
artifact1042,1342,1342,node1,1342,1342,node3,1342,1342
artifact1043,1343,1343,node1,1343,1343,node3,1343,1343
artifact1044,1344,1344,node1,1344,1344,node3,1344,1344
artifact1045,1345,1345,node1,1345,1345,node3,1345,1345
artifact1046,1346,1346,node1,1346,1346,node3,1346,1346
artifact1047,1347,1347,node1,1347,1347,node3,1347,1347
artifact1048,1348,1348,node1,1348,1348,node3,1348,1348
artifact1049,1349,1349,node1,1349,1349,node3,1349,1349
artifact105,405,405,node1,405,405,node3,405,405
artifact1050,1350,1350,node1,1350,1350,node3,1350,1350
artifact1051,1351,1351,node1,1351,1351,node3,1351,1351
artifact1052,1352,1352,node1,1352,1352,node3,1352,1352
artifact1053,1353,1353,node1,1353,1353,node3,1353,1353
artifact1054,1354,1354,node1,1354,1354,node3,1354,1354
artifact1055,1355,1355,node1,1355,1355,node3,1355,1355
artifact1056,1356,1356,node1,1356,1356,node3,1356,1356
artifact1057,1357,1357,node1,1357,1357,node3,1357,1357
artifact1058,1358,1358,node1,1358,1358,node3,1358,1358
artifact1059,1359,1359,node1,1359,1359,node3,1359,1359
artifact106,406,406,node1,406,406,node3,406,406
artifact1060,1360,1360,node1,1360,1360,node3,1360,1360
artifact1061,1361,1361,node1,1361,1361,node3,1361,1361
artifact1062,1362,1362,node1,1362,1362,node3,1362,1362
artifact1063,1363,1363,node1,1363,1363,node3,1363,1363
artifact1064,1364,1364,node1,1364,1364,node3,1364,1364
artifact1065,1365,1365,node1,1365,1365,node3,1365,1365
artifact1066,1366,1366,node1,1366,1366,node3,1366,1366
artifact1067,1367,1367,node1,1367,1367,node3,1367,1367
artifact1068,1368,1368,node1,1368,1368,node3,1368,1368
artifact1069,1369,1369,node1,1369,1369,node3,1369,1369
artifact107,407,407,node1,407,407,node3,407,407
artifact1070,1370,1370,node1,1370,1370,node3,1370,1370
artifact1071,1371,1371,node1,1371,1371,node3,1371,1371
artifact1072,1372,1372,node1,1372,1372,node3,1372,1372
artifact1073,1373,1373,node1,1373,1373,node3,1373,1373
artifact1074,1374,1374,node1,1374,1374,node3,1374,1374
artifact1075,1375,1375,node1,1375,1375,node3,1375,1375
artifact1076,1376,1376,node1,1376,1376,node3,1376,1376
artifact1077,1377,1377,node1,1377,1377,node3,1377,1377
artifact1078,1378,1378,node1,1378,1378,node3,1378,1378
artifact1079,1379,1379,node1,1379,1379,node3,1379,1379
artifact108,408,408,node1,408,408,node3,408,408
artifact1080,1380,1380,node1,1380,1380,node3,1380,1380
artifact1081,1381,1381,node1,1381,1381,node3,1381,1381
artifact1082,1382,1382,node1,1382,1382,node3,1382,1382
artifact1083,1383,1383,node1,1383,1383,node3,1383,1383
artifact1084,1384,1384,node1,1384,1384,node3,1384,1384
artifact1085,1385,1385,node1,1385,1385,node3,1385,1385
artifact1086,1386,1386,node1,1386,1386,node3,1386,1386
artifact1087,1387,1387,node1,1387,1387,node3,1387,1387
artifact1088,1388,1388,node1,1388,1388,node3,1388,1388
artifact1089,1389,1389,node1,1389,1389,node3,1389,1389
artifact109,409,409,node1,409,409,node3,409,409
artifact1090,1390,1390,node1,1390,1390,node3,1390,1390
artifact1091,1391,1391,node1,1391,1391,node3,1391,1391
artifact1092,1392,1392,node1,1392,1392,node3,1392,1392
artifact1093,1393,1393,node1,1393,1393,node3,1393,1393
artifact1094,1394,1394,node1,1394,1394,node3,1394,1394
artifact1095,1395,1395,node1,1395,1395,node3,1395,1395
artifact1096,1396,1396,node1,1396,1396,node3,1396,1396
artifact1097,1397,1397,node1,1397,1397,node3,1397,1397
artifact1098,1398,1398,node1,1398,1398,node3,1398,1398
artifact1099,1399,1399,node1,1399,1399,node3,1399,1399
artifact11,311,311,node1,311,311,node3,311,311
artifact110,410,410,node1,410,410,node3,410,410
artifact1100,1400,1400,node1,1400,1400,node3,1400,1400
artifact1101,1401,1401,node1,1401,1401,node3,1401,1401
artifact1102,1402,1402,node1,1402,1402,node3,1402,1402
artifact1103,1403,1403,node1,1403,1403,node3,1403,1403
artifact1104,1404,1404,node1,1404,1404,node3,1404,1404
artifact1105,1405,1405,node1,1405,1405,node3,1405,1405
artifact1106,1406,1406,node1,1406,1406,node3,1406,1406
artifact1107,1407,1407,node1,1407,1407,node3,1407,1407
artifact1108,1408,1408,node1,1408,1408,node3,1408,1408
artifact1109,1409,1409,node1,1409,1409,node3,1409,1409
artifact111,411,411,node1,411,411,node3,411,411
artifact1110,1410,1410,node1,1410,1410,node3,1410,1410
artifact1111,1411,1411,node1,1411,1411,node3,1411,1411
artifact1112,1412,1412,node1,1412,1412,node3,1412,1412
artifact1113,1413,1413,node1,1413,1413,node3,1413,1413
artifact1114,1414,1414,node1,1414,1414,node3,1414,1414
artifact1115,1415,1415,node1,1415,1415,node3,1415,1415
artifact1116,1416,1416,node1,1416,1416,node3,1416,1416
artifact1117,1417,1417,node1,1417,1417,node3,1417,1417
artifact1118,1418,1418,node1,1418,1418,node3,1418,1418
artifact1119,1419,1419,node1,1419,1419,node3,1419,1419
artifact112,412,412,node1,412,412,node3,412,412
artifact1120,1420,1420,node1,1420,1420,node3,1420,1420
artifact1121,1421,1421,node1,1421,1421,node3,1421,1421
artifact1122,1422,1422,node1,1422,1422,node3,1422,1422
artifact1123,1423,1423,node1,1423,1423,node3,1423,1423
artifact1124,1424,1424,node1,1424,1424,node3,1424,1424
artifact1125,1425,1425,node1,1425,1425,node3,1425,1425
artifact1126,1426,1426,node1,1426,1426,node3,1426,1426
artifact1127,1427,1427,node1,1427,1427,node3,1427,1427
artifact1128,1428,1428,node1,1428,1428,node3,1428,1428
artifact1129,1429,1429,node1,1429,1429,node3,1429,1429
artifact113,413,413,node1,413,413,node3,413,413
artifact1130,1430,1430,node1,1430,1430,node3,1430,1430
artifact1131,1431,1431,node1,1431,1431,node3,1431,1431
artifact1132,1432,1432,node1,1432,1432,node3,1432,1432
artifact1133,1433,1433,node1,1433,1433,node3,1433,1433
artifact1134,1434,1434,node1,1434,1434,node3,1434,1434
artifact1135,1435,1435,node1,1435,1435,node3,1435,1435
artifact1136,1436,1436,node1,1436,1436,node3,1436,1436
artifact1137,1437,1437,node1,1437,1437,node3,1437,1437
artifact1138,1438,1438,node1,1438,1438,node3,1438,1438
artifact1139,1439,1439,node1,1439,1439,node3,1439,1439
artifact114,414,414,node1,414,414,node3,414,414
artifact1140,1440,1440,node1,1440,1440,node3,1440,1440
artifact1141,1441,1441,node1,1441,1441,node3,1441,1441
artifact1142,1442,1442,node1,1442,1442,node3,1442,1442
artifact1143,1443,1443,node1,1443,1443,node3,1443,1443
artifact1144,1444,1444,node1,1444,1444,node3,1444,1444
artifact1145,1445,1445,node1,1445,1445,node3,1445,1445
artifact1146,1446,1446,node1,1446,1446,node3,1446,1446
artifact1147,1447,1447,node1,1447,1447,node3,1447,1447
artifact1148,1448,1448,node1,1448,1448,node3,1448,1448
artifact1149,1449,1449,node1,1449,1449,node3,1449,1449
artifact115,415,415,node1,415,415,node3,415,415
artifact1150,1450,1450,node1,1450,1450,node3,1450,1450
artifact1151,1451,1451,node1,1451,1451,node3,1451,1451
artifact1152,1452,1452,node1,1452,1452,node3,1452,1452
artifact1153,1453,1453,node1,1453,1453,node3,1453,1453
artifact1154,1454,1454,node1,1454,1454,node3,1454,1454
artifact1155,1455,1455,node1,1455,1455,node3,1455,1455
artifact1156,1456,1456,node1,1456,1456,node3,1456,1456
artifact1157,1457,1457,node1,1457,1457,node3,1457,1457
artifact1158,1458,1458,node1,1458,1458,node3,1458,1458
artifact1159,1459,1459,node1,1459,1459,node3,1459,1459
artifact116,416,416,node1,416,416,node3,416,416
artifact1160,1460,1460,node1,1460,1460,node3,1460,1460
artifact1161,1461,1461,node1,1461,1461,node3,1461,1461
artifact1162,1462,1462,node1,1462,1462,node3,1462,1462
artifact1163,1463,1463,node1,1463,1463,node3,1463,1463
artifact1164,1464,1464,node1,1464,1464,node3,1464,1464
artifact1165,1465,1465,node1,1465,1465,node3,1465,1465
artifact1166,1466,1466,node1,1466,1466,node3,1466,1466
artifact1167,1467,1467,node1,1467,1467,node3,1467,1467
artifact1168,1468,1468,node1,1468,1468,node3,1468,1468
artifact1169,1469,1469,node1,1469,1469,node3,1469,1469
artifact117,417,417,node1,417,417,node3,417,417
artifact1170,1470,1470,node1,1470,1470,node3,1470,1470
artifact1171,1471,1471,node1,1471,1471,node3,1471,1471
artifact1172,1472,1472,node1,1472,1472,node3,1472,1472
artifact1173,1473,1473,node1,1473,1473,node3,1473,1473
artifact1174,1474,1474,node1,1474,1474,node3,1474,1474
artifact1175,1475,1475,node1,1475,1475,node3,1475,1475
artifact1176,1476,1476,node1,1476,1476,node3,1476,1476
artifact1177,1477,1477,node1,1477,1477,node3,1477,1477
artifact1178,1478,1478,node1,1478,1478,node3,1478,1478
artifact1179,1479,1479,node1,1479,1479,node3,1479,1479
artifact118,418,418,node1,418,418,node3,418,418
artifact1180,1480,1480,node1,1480,1480,node3,1480,1480
artifact1181,1481,1481,node1,1481,1481,node3,1481,1481
artifact1182,1482,1482,node1,1482,1482,node3,1482,1482
artifact1183,1483,1483,node1,1483,1483,node3,1483,1483
artifact1184,1484,1484,node1,1484,1484,node3,1484,1484
artifact1185,1485,1485,node1,1485,1485,node3,1485,1485
artifact1186,1486,1486,node1,1486,1486,node3,1486,1486
artifact1187,1487,1487,node1,1487,1487,node3,1487,1487
artifact1188,1488,1488,node1,1488,1488,node3,1488,1488
artifact1189,1489,1489,node1,1489,1489,node3,1489,1489
artifact119,419,419,node1,419,419,node3,419,419
artifact1190,1490,1490,node1,1490,1490,node3,1490,1490
artifact1191,1491,1491,node1,1491,1491,node3,1491,1491
artifact1192,1492,1492,node1,1492,1492,node3,1492,1492
artifact1193,1493,1493,node1,1493,1493,node3,1493,1493
artifact1194,1494,1494,node1,1494,1494,node3,1494,1494
artifact1195,1495,1495,node1,1495,1495,node3,1495,1495
artifact1196,1496,1496,node1,1496,1496,node3,1496,1496
artifact1197,1497,1497,node1,1497,1497,node3,1497,1497
artifact1198,1498,1498,node1,1498,1498,node3,1498,1498
artifact1199,1499,1499,node1,1499,1499,node3,1499,1499
artifact12,312,312,node1,312,312,node3,312,312
artifact120,420,420,node1,420,420,node3,420,420
artifact1200,1500,1500,node1,1500,1500,node3,1500,1500
artifact1201,1501,1501,node1,1501,1501,node3,1501,1501
artifact1202,1502,1502,node1,1502,1502,node3,1502,1502
artifact1203,1503,1503,node1,1503,1503,node3,1503,1503
artifact1204,1504,1504,node1,1504,1504,node3,1504,1504
artifact1205,1505,1505,node1,1505,1505,node3,1505,1505
artifact1206,1506,1506,node1,1506,1506,node3,1506,1506
artifact1207,1507,1507,node1,1507,1507,node3,1507,1507
artifact1208,1508,1508,node1,1508,1508,node3,1508,1508
artifact1209,1509,1509,node1,1509,1509,node3,1509,1509
artifact121,421,421,node1,421,421,node3,421,421
artifact1210,1510,1510,node1,1510,1510,node3,1510,1510
artifact1211,1511,1511,node1,1511,1511,node3,1511,1511
artifact1212,1512,1512,node1,1512,1512,node3,1512,1512
artifact1213,1513,1513,node1,1513,1513,node3,1513,1513
artifact1214,1514,1514,node1,1514,1514,node3,1514,1514
artifact1215,1515,1515,node1,1515,1515,node3,1515,1515
artifact1216,1516,1516,node1,1516,1516,node3,1516,1516
artifact1217,1517,1517,node1,1517,1517,node3,1517,1517
artifact1218,1518,1518,node1,1518,1518,node3,1518,1518
artifact1219,1519,1519,node1,1519,1519,node3,1519,1519
artifact122,422,422,node1,422,422,node3,422,422
artifact1220,1520,1520,node1,1520,1520,node3,1520,1520
artifact1221,1521,1521,node1,1521,1521,node3,1521,1521
artifact1222,1522,1522,node1,1522,1522,node3,1522,1522
artifact1223,1523,1523,node1,1523,1523,node3,1523,1523
artifact1224,1524,1524,node1,1524,1524,node3,1524,1524
artifact1225,1525,1525,node1,1525,1525,node3,1525,1525
artifact1226,1526,1526,node1,1526,1526,node3,1526,1526
artifact1227,1527,1527,node1,1527,1527,node3,1527,1527
artifact1228,1528,1528,node1,1528,1528,node3,1528,1528
artifact1229,1529,1529,node1,1529,1529,node3,1529,1529
artifact123,423,423,node1,423,423,node3,423,423
artifact1230,1530,1530,node1,1530,1530,node3,1530,1530
artifact1231,1531,1531,node1,1531,1531,node3,1531,1531
artifact1232,1532,1532,node1,1532,1532,node3,1532,1532
artifact1233,1533,1533,node1,1533,1533,node3,1533,1533
artifact1234,1534,1534,node1,1534,1534,node3,1534,1534
artifact1235,1535,1535,node1,1535,1535,node3,1535,1535
artifact1236,1536,1536,node1,1536,1536,node3,1536,1536
artifact1237,1537,1537,node1,1537,1537,node3,1537,1537
artifact1238,1538,1538,node1,1538,1538,node3,1538,1538
artifact1239,1539,1539,node1,1539,1539,node3,1539,1539
artifact124,424,424,node1,424,424,node3,424,424
artifact1240,1540,1540,node1,1540,1540,node3,1540,1540
artifact1241,1541,1541,node1,1541,1541,node3,1541,1541
artifact1242,1542,1542,node1,1542,1542,node3,1542,1542
artifact1243,1543,1543,node1,1543,1543,node3,1543,1543
artifact1244,1544,1544,node1,1544,1544,node3,1544,1544
artifact1245,1545,1545,node1,1545,1545,node3,1545,1545
artifact1246,1546,1546,node1,1546,1546,node3,1546,1546
artifact1247,1547,1547,node1,1547,1547,node3,1547,1547
artifact1248,1548,1548,node1,1548,1548,node3,1548,1548
artifact1249,1549,1549,node1,1549,1549,node3,1549,1549
artifact125,425,425,node1,425,425,node3,425,425
artifact1250,1550,1550,node1,1550,1550,node3,1550,1550
artifact1251,1551,1551,node1,1551,1551,node3,1551,1551
artifact1252,1552,1552,node1,1552,1552,node3,1552,1552
artifact1253,1553,1553,node1,1553,1553,node3,1553,1553
artifact1254,1554,1554,node1,1554,1554,node3,1554,1554
artifact1255,1555,1555,node1,1555,1555,node3,1555,1555
artifact1256,1556,1556,node1,1556,1556,node3,1556,1556
artifact1257,1557,1557,node1,1557,1557,node3,1557,1557
artifact1258,1558,1558,node1,1558,1558,node3,1558,1558
artifact1259,1559,1559,node1,1559,1559,node3,1559,1559
artifact126,426,426,node1,426,426,node3,426,426
artifact1260,1560,1560,node1,1560,1560,node3,1560,1560
artifact1261,1561,1561,node1,1561,1561,node3,1561,1561
artifact1262,1562,1562,node1,1562,1562,node3,1562,1562
artifact1263,1563,1563,node1,1563,1563,node3,1563,1563
artifact1264,1564,1564,node1,1564,1564,node3,1564,1564
artifact1265,1565,1565,node1,1565,1565,node3,1565,1565
artifact1266,1566,1566,node1,1566,1566,node3,1566,1566
artifact1267,1567,1567,node1,1567,1567,node3,1567,1567
artifact1268,1568,1568,node1,1568,1568,node3,1568,1568
artifact1269,1569,1569,node1,1569,1569,node3,1569,1569
artifact127,427,427,node1,427,427,node3,427,427
artifact1270,1570,1570,node1,1570,1570,node3,1570,1570
artifact1271,1571,1571,node1,1571,1571,node3,1571,1571
artifact1272,1572,1572,node1,1572,1572,node3,1572,1572
artifact1273,1573,1573,node1,1573,1573,node3,1573,1573
artifact1274,1574,1574,node1,1574,1574,node3,1574,1574
artifact1275,1575,1575,node1,1575,1575,node3,1575,1575
artifact1276,1576,1576,node1,1576,1576,node3,1576,1576
artifact1277,1577,1577,node1,1577,1577,node3,1577,1577
artifact1278,1578,1578,node1,1578,1578,node3,1578,1578
artifact1279,1579,1579,node1,1579,1579,node3,1579,1579
artifact128,428,428,node1,428,428,node3,428,428
artifact1280,1580,1580,node1,1580,1580,node3,1580,1580
artifact1281,1581,1581,node1,1581,1581,node3,1581,1581
artifact1282,1582,1582,node1,1582,1582,node3,1582,1582
artifact1283,1583,1583,node1,1583,1583,node3,1583,1583
artifact1284,1584,1584,node1,1584,1584,node3,1584,1584
artifact1285,1585,1585,node1,1585,1585,node3,1585,1585
artifact1286,1586,1586,node1,1586,1586,node3,1586,1586
artifact1287,1587,1587,node1,1587,1587,node3,1587,1587
artifact1288,1588,1588,node1,1588,1588,node3,1588,1588
artifact1289,1589,1589,node1,1589,1589,node3,1589,1589
artifact129,429,429,node1,429,429,node3,429,429
artifact1290,1590,1590,node1,1590,1590,node3,1590,1590
artifact1291,1591,1591,node1,1591,1591,node3,1591,1591
artifact1292,1592,1592,node1,1592,1592,node3,1592,1592
artifact1293,1593,1593,node1,1593,1593,node3,1593,1593
artifact1294,1594,1594,node1,1594,1594,node3,1594,1594
artifact1295,1595,1595,node1,1595,1595,node3,1595,1595
artifact1296,1596,1596,node1,1596,1596,node3,1596,1596
artifact1297,1597,1597,node1,1597,1597,node3,1597,1597
artifact1298,1598,1598,node1,1598,1598,node3,1598,1598
artifact1299,1599,1599,node1,1599,1599,node3,1599,1599
artifact13,313,313,node1,313,313,node3,313,313
artifact130,430,430,node1,430,430,node3,430,430
artifact1300,1600,1600,node1,1600,1600,node3,1600,1600
artifact1301,1601,1601,node1,1601,1601,node3,1601,1601
artifact1302,1602,1602,node1,1602,1602,node3,1602,1602
artifact1303,1603,1603,node1,1603,1603,node3,1603,1603
artifact1304,1604,1604,node1,1604,1604,node3,1604,1604
artifact1305,1605,1605,node1,1605,1605,node3,1605,1605
artifact1306,1606,1606,node1,1606,1606,node3,1606,1606
artifact1307,1607,1607,node1,1607,1607,node3,1607,1607
artifact1308,1608,1608,node1,1608,1608,node3,1608,1608
artifact1309,1609,1609,node1,1609,1609,node3,1609,1609
artifact131,431,431,node1,431,431,node3,431,431
artifact1310,1610,1610,node1,1610,1610,node3,1610,1610
artifact1311,1611,1611,node1,1611,1611,node3,1611,1611
artifact1312,1612,1612,node1,1612,1612,node3,1612,1612
artifact1313,1613,1613,node1,1613,1613,node3,1613,1613
artifact1314,1614,1614,node1,1614,1614,node3,1614,1614
artifact1315,1615,1615,node1,1615,1615,node3,1615,1615
artifact1316,1616,1616,node1,1616,1616,node3,1616,1616
artifact1317,1617,1617,node1,1617,1617,node3,1617,1617
artifact1318,1618,1618,node1,1618,1618,node3,1618,1618
artifact1319,1619,1619,node1,1619,1619,node3,1619,1619
artifact132,432,432,node1,432,432,node3,432,432
artifact1320,1620,1620,node1,1620,1620,node3,1620,1620
artifact1321,1621,1621,node1,1621,1621,node3,1621,1621
artifact1322,1622,1622,node1,1622,1622,node3,1622,1622
artifact1323,1623,1623,node1,1623,1623,node3,1623,1623
artifact1324,1624,1624,node1,1624,1624,node3,1624,1624
artifact1325,1625,1625,node1,1625,1625,node3,1625,1625
artifact1326,1626,1626,node1,1626,1626,node3,1626,1626
artifact1327,1627,1627,node1,1627,1627,node3,1627,1627
artifact1328,1628,1628,node1,1628,1628,node3,1628,1628
artifact1329,1629,1629,node1,1629,1629,node3,1629,1629
artifact133,433,433,node1,433,433,node3,433,433
artifact1330,1630,1630,node1,1630,1630,node3,1630,1630
artifact1331,1631,1631,node1,1631,1631,node3,1631,1631
artifact1332,1632,1632,node1,1632,1632,node3,1632,1632
artifact1333,1633,1633,node1,1633,1633,node3,1633,1633
artifact1334,1634,1634,node1,1634,1634,node3,1634,1634
artifact1335,1635,1635,node1,1635,1635,node3,1635,1635
artifact1336,1636,1636,node1,1636,1636,node3,1636,1636
artifact1337,1637,1637,node1,1637,1637,node3,1637,1637
artifact1338,1638,1638,node1,1638,1638,node3,1638,1638
artifact1339,1639,1639,node1,1639,1639,node3,1639,1639
artifact134,434,434,node1,434,434,node3,434,434
artifact1340,1640,1640,node1,1640,1640,node3,1640,1640
artifact1341,1641,1641,node1,1641,1641,node3,1641,1641
artifact1342,1642,1642,node1,1642,1642,node3,1642,1642
artifact1343,1643,1643,node1,1643,1643,node3,1643,1643
artifact1344,1644,1644,node1,1644,1644,node3,1644,1644
artifact1345,1645,1645,node1,1645,1645,node3,1645,1645
artifact1346,1646,1646,node1,1646,1646,node3,1646,1646
artifact1347,1647,1647,node1,1647,1647,node3,1647,1647
artifact1348,1648,1648,node1,1648,1648,node3,1648,1648
artifact1349,1649,1649,node1,1649,1649,node3,1649,1649
artifact135,435,435,node1,435,435,node3,435,435
artifact1350,1650,1650,node1,1650,1650,node3,1650,1650
artifact1351,1651,1651,node1,1651,1651,node3,1651,1651
artifact1352,1652,1652,node1,1652,1652,node3,1652,1652
artifact1353,1653,1653,node1,1653,1653,node3,1653,1653
artifact1354,1654,1654,node1,1654,1654,node3,1654,1654
artifact1355,1655,1655,node1,1655,1655,node3,1655,1655
artifact1356,1656,1656,node1,1656,1656,node3,1656,1656
artifact1357,1657,1657,node1,1657,1657,node3,1657,1657
artifact1358,1658,1658,node1,1658,1658,node3,1658,1658
artifact1359,1659,1659,node1,1659,1659,node3,1659,1659
artifact136,436,436,node1,436,436,node3,436,436
artifact1360,1660,1660,node1,1660,1660,node3,1660,1660
artifact1361,1661,1661,node1,1661,1661,node3,1661,1661
artifact1362,1662,1662,node1,1662,1662,node3,1662,1662
artifact1363,1663,1663,node1,1663,1663,node3,1663,1663
artifact1364,1664,1664,node1,1664,1664,node3,1664,1664
artifact1365,1665,1665,node1,1665,1665,node3,1665,1665
artifact1366,1666,1666,node1,1666,1666,node3,1666,1666
artifact1367,1667,1667,node1,1667,1667,node3,1667,1667
artifact1368,1668,1668,node1,1668,1668,node3,1668,1668
artifact1369,1669,1669,node1,1669,1669,node3,1669,1669
artifact137,437,437,node1,437,437,node3,437,437
artifact1370,1670,1670,node1,1670,1670,node3,1670,1670
artifact1371,1671,1671,node1,1671,1671,node3,1671,1671
artifact1372,1672,1672,node1,1672,1672,node3,1672,1672
artifact1373,1673,1673,node1,1673,1673,node3,1673,1673
artifact1374,1674,1674,node1,1674,1674,node3,1674,1674
artifact1375,1675,1675,node1,1675,1675,node3,1675,1675
artifact1376,1676,1676,node1,1676,1676,node3,1676,1676
artifact1377,1677,1677,node1,1677,1677,node3,1677,1677
artifact1378,1678,1678,node1,1678,1678,node3,1678,1678
artifact1379,1679,1679,node1,1679,1679,node3,1679,1679
artifact138,438,438,node1,438,438,node3,438,438
artifact1380,1680,1680,node1,1680,1680,node3,1680,1680
artifact1381,1681,1681,node1,1681,1681,node3,1681,1681
artifact1382,1682,1682,node1,1682,1682,node3,1682,1682
artifact1383,1683,1683,node1,1683,1683,node3,1683,1683
artifact1384,1684,1684,node1,1684,1684,node3,1684,1684
artifact1385,1685,1685,node1,1685,1685,node3,1685,1685
artifact1386,1686,1686,node1,1686,1686,node3,1686,1686
artifact1387,1687,1687,node1,1687,1687,node3,1687,1687
artifact1388,1688,1688,node1,1688,1688,node3,1688,1688
artifact1389,1689,1689,node1,1689,1689,node3,1689,1689
artifact139,439,439,node1,439,439,node3,439,439
artifact1390,1690,1690,node1,1690,1690,node3,1690,1690
artifact1391,1691,1691,node1,1691,1691,node3,1691,1691
artifact1392,1692,1692,node1,1692,1692,node3,1692,1692
artifact1393,1693,1693,node1,1693,1693,node3,1693,1693
artifact1394,1694,1694,node1,1694,1694,node3,1694,1694
artifact1395,1695,1695,node1,1695,1695,node3,1695,1695
artifact1396,1696,1696,node1,1696,1696,node3,1696,1696
artifact1397,1697,1697,node1,1697,1697,node3,1697,1697
artifact1398,1698,1698,node1,1698,1698,node3,1698,1698
artifact1399,1699,1699,node1,1699,1699,node3,1699,1699
artifact14,314,314,node1,314,314,node3,314,314
artifact140,440,440,node1,440,440,node3,440,440
artifact1400,1700,1700,node1,1700,1700,node3,1700,1700
artifact1401,1701,1701,node1,1701,1701,node3,1701,1701
artifact1402,1702,1702,node1,1702,1702,node3,1702,1702
artifact1403,1703,1703,node1,1703,1703,node3,1703,1703
artifact1404,1704,1704,node1,1704,1704,node3,1704,1704
artifact1405,1705,1705,node1,1705,1705,node3,1705,1705
artifact1406,1706,1706,node1,1706,1706,node3,1706,1706
artifact1407,1707,1707,node1,1707,1707,node3,1707,1707
artifact1408,1708,1708,node1,1708,1708,node3,1708,1708
artifact1409,1709,1709,node1,1709,1709,node3,1709,1709
artifact141,441,441,node1,441,441,node3,441,441
artifact1410,1710,1710,node1,1710,1710,node3,1710,1710
artifact1411,1711,1711,node1,1711,1711,node3,1711,1711
artifact1412,1712,1712,node1,1712,1712,node3,1712,1712
artifact1413,1713,1713,node1,1713,1713,node3,1713,1713
artifact1414,1714,1714,node1,1714,1714,node3,1714,1714
artifact1415,1715,1715,node1,1715,1715,node3,1715,1715
artifact1416,1716,1716,node1,1716,1716,node3,1716,1716
artifact1417,1717,1717,node1,1717,1717,node3,1717,1717
artifact1418,1718,1718,node1,1718,1718,node3,1718,1718
artifact1419,1719,1719,node1,1719,1719,node3,1719,1719
artifact142,442,442,node1,442,442,node3,442,442
artifact1420,1720,1720,node1,1720,1720,node3,1720,1720
artifact1421,1721,1721,node1,1721,1721,node3,1721,1721
artifact1422,1722,1722,node1,1722,1722,node3,1722,1722
artifact1423,1723,1723,node1,1723,1723,node3,1723,1723
artifact1424,1724,1724,node1,1724,1724,node3,1724,1724
