function,stars_min,watchers_min,forks_min,language_min,node_id_min,stars_max,watchers_max,forks_max,language_max,node_id_max,stars_mean,watchers_mean,forks_mean
api-lambda-send-bulk-templated-email-ses,0,1,0,JavaScript,node2,0,1,0,JavaScript,node3,0,1,0
api-lambda-send-email-ses,18,2,3,JavaScript,node2,18,2,3,JavaScript,node3,18,2,3
api-lambda-send-templated-email-ses,4,2,0,JavaScript,node2,4,2,0,JavaScript,node3,4,2,0
api-lambda-sns-publisher,0,1,1,JavaScript,node2,0,1,1,JavaScript,node3,0,1,1
api-lambda-stripe-charge,30,3,5,JavaScript,node2,30,3,5,JavaScript,node3,30,3,5
api-lambda-update-dynamodb,3,2,1,JavaScript,node2,3,2,1,JavaScript,node3,3,2,1
api-websockets-push-notifications-dynamodb,2,1,1,JavaScript,node2,2,1,1,JavaScript,node3,2,1,1
appsync-broadcaster,12,1,2,JavaScript,node2,12,1,2,JavaScript,node3,12,1,2
appsync-graphql-crud-dynamodb,9,1,1,None,node2,9,1,1,None,node3,9,1,1
async-custom-metrics,17,1,0,JavaScript,node2,17,1,0,JavaScript,node3,17,1,0
aurora-api,0,1,0,JavaScript,node2,0,1,0,JavaScript,node3,0,1,0
auto-set-log-group-retention,30,2,4,JavaScript,node2,30,2,4,JavaScript,node3,30,2,4
auto-subscribe-log-group-to-arn,30,2,4,JavaScript,node2,30,2,4,JavaScript,node3,30,2,4
autodeploy-layer,8,1,1,JavaScript,node2,8,1,1,JavaScript,node3,8,1,1
aws-bills-to-telegram,1,1,0,Python,node2,1,1,0,Python,node3,1,1,0
aws-console-sign-in-to-telegram,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
aws-deployment-framework,248,34,77,Python,node2,248,34,77,Python,node3,248,34,77
aws-dynamodb-stream-eventbridge-fanout,18,9,3,Java,node2,18,9,3,Java,node3,18,9,3
aws-health-event-to-slack-message,5,1,1,Python,node2,5,1,1,Python,node3,5,1,1
aws-internal-healthcheck,4,1,2,JavaScript,node2,4,1,2,JavaScript,node3,4,1,2
aws-lambda-power-tuning,969,34,55,JavaScript,node2,969,34,55,JavaScript,node3,969,34,55
aws-private-ca-policy-venafi,3,8,2,Go,node2,3,8,2,Go,node3,3,8,2
aws-sagemaker-ground-truth-recipe,6,1,6,Python,node2,6,1,6,Python,node3,6,1,6
aws-sam-codebuild-ci,15,11,6,None,node2,15,11,6,None,node3,15,11,6
aws-sam-codepipeline-cd,24,11,12,None,node2,24,11,12,None,node3,24,11,12
aws-serverless-codepipeline-serverlessrepo-publish,11,11,7,Python,node2,11,11,7,Python,node3,11,11,7
aws-serverless-financial-functions-effect,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-fv,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-fvschedule,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-irr,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-mirr,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-nominal,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-nper,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-npv,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-pmt,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-ppmt,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-pv,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-rate,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-sln,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-wrapper,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-xirr,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-financial-functions-xnpv,38,19,8,Python,node2,38,19,8,Python,node3,38,19,8
aws-serverless-sns-forwarder,6,10,4,Python,node2,6,10,4,Python,node3,6,10,4
aws-serverless-sqs-event-source,32,7,12,Java,node2,32,7,12,Java,node3,32,7,12
aws-serverless-twitter-event-source,65,14,17,Python,node2,65,14,17,Python,node3,65,14,17
aws-serverless-website-canary,4,1,0,JavaScript,node2,4,1,0,JavaScript,node3,4,1,0
aws-serverlessrepo-auto-deploy,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
aws-services-by-region,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
aws-sns-to-slack-publisher,18,1,7,Python,node2,18,1,7,Python,node3,18,1,7
aws-sqs-dlq-redriver,3,1,2,Python,node2,3,1,2,Python,node3,3,1,2
aws-support-bot,0,0,1,Python,node2,0,0,1,Python,node3,0,0,1
aws-tag-explorer,10,1,3,Python,node2,10,1,3,Python,node3,10,1,3
awscallouts,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
birthday-to-age,0,1,0,Go,node2,0,1,0,Go,node3,0,1,0
blur,90,8,40,JavaScript,node2,90,8,40,JavaScript,node3,90,8,40
blur-faces-rekognition,2,1,0,Python,node2,2,1,0,Python,node3,2,1,0
buildkite-serverless-agent,11,0,2,Go,node2,11,0,2,Go,node3,11,0,2
cfn-look-up-ami-ids,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
cfn-news-to-telegram,1,1,0,HTML,node2,1,1,0,HTML,node3,1,1,0
cfn-stack-outputs,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
check-datadog-custom-metrics-usage,0,0,0,JavaScript,node2,0,0,0,JavaScript,node3,0,0,0
chime-eks-top,1,1,0,Makefile,node2,1,1,0,Makefile,node3,1,1,0
cloudfront-ab-test,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
cloudfront-access-request-in-response,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
cloudfront-authorization-at-edge,45,7,13,TypeScript,node2,45,7,13,TypeScript,node3,45,7,13
cloudfront-cdn,1,1,0,JavaScript,node2,1,1,0,JavaScript,node3,1,1,0
cloudfront-http-redirect,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
cloudfront-modify-querystring,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
cloudfront-modify-response-header,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
cloudfront-multiple-remote-calls-aggregate-response,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
cloudfront-redirect-on-viewer-country,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
cloudfront-redirect-unauthenticated-users,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
cloudfront-response-generation,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
cloudfront-s3-origin-website-redirects,1,0,2,JavaScript,node2,1,0,2,JavaScript,node3,1,0,2
cloudfront-security-group-update-ips,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
cloudfront-sg-manager,1,1,0,Python,node2,1,1,0,Python,node3,1,1,0
cloudfront-simple-remote-call,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
cloudwatch-alarm-to-slack,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
cloudwatch-alarm-to-slack-python,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
cloudwatch-alarm-to-slack-python3,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
cloudwatch-alarms-macro,16,2,1,JavaScript,node2,16,2,1,JavaScript,node3,16,2,1
cloudwatch-loggly-forwarder,10,12,0,Ruby,node2,10,12,0,Ruby,node3,10,12,0
cloudwatch-logs-janitor,0,0,0,Python,node2,0,0,0,Python,node3,0,0,0
cloudwatch-logs-process-data,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
cloudwatch-logs-to-loggly,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
codedeployhook,0,4,0,Go,node2,0,4,0,Go,node3,0,4,0
codepipeline-s3-deploy,0,1,0,JavaScript,node2,0,1,0,JavaScript,node3,0,1,0
codepipeline-s3-objects-public-read,0,1,2,JavaScript,node2,0,1,2,JavaScript,node3,0,1,2
codepipeline-s3-objects-public-read-multi-buildartifact,0,1,0,JavaScript,node2,0,1,0,JavaScript,node3,0,1,0
codepipeline-versioner,0,1,0,JavaScript,node2,0,1,0,JavaScript,node3,0,1,0
cognito-sync-trigger,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
comment-moderator,0,0,0,JavaScript,node2,0,0,0,JavaScript,node3,0,0,0
commentable-rs,4,2,0,Rust,node2,4,2,0,Rust,node3,4,2,0
compress,90,8,40,JavaScript,node2,90,8,40,JavaScript,node3,90,8,40
config-rule-change-triggered,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
config-rule-periodic,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
create-databases-in-rds,0,23,0,Python,node2,0,23,0,Python,node3,0,23,0
create-databases-is-rds,0,23,0,Python,node2,0,23,0,Python,node3,0,23,0
crop,90,8,40,JavaScript,node2,90,8,40,JavaScript,node3,90,8,40
cw-logs-to-chime,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
cw-logs-to-lambda,1,1,0,Python,node2,1,1,0,Python,node3,1,1,0
cw-logs-to-slack,4,1,3,Makefile,node2,4,1,3,Makefile,node3,4,1,3
daily-billing-report-to-slack,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
datadog-process-rds-metrics,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
dazn-lambda-powertools,230,98,21,JavaScript,node2,230,98,21,JavaScript,node3,230,98,21
ddb-copier,5,2,3,Java,node2,5,2,3,Java,node3,5,2,3
deno,147,8,2,TypeScript,node2,147,8,2,TypeScript,node3,147,8,2
deno-hello-world,147,8,2,TypeScript,node2,147,8,2,TypeScript,node3,147,8,2
deploy-to-s3,15,4,8,Python,node2,15,4,8,Python,node3,15,4,8
detect-stack-drifts,3,1,1,Python,node2,3,1,1,Python,node3,3,1,1
dungeon-maestro-slack-bot,3,1,0,Go,node2,3,1,0,Go,node3,3,1,0
dynamic-security-group-builder,50,3,15,Makefile,node2,50,3,15,Makefile,node3,50,3,15
dynamodb-history-storer,9,2,1,JavaScript,node2,9,2,1,JavaScript,node3,9,2,1
dynamodb-lambda-publisher-sns,0,1,0,JavaScript,node2,0,1,0,JavaScript,node3,0,1,0
dynamodb-lex,2,2,1,JavaScript,node2,2,2,1,JavaScript,node3,2,2,1
dynamodb-local-python,6,0,2,Python,node2,6,0,2,Python,node3,6,0,2
dynamodb-process-stream,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
dynamodb-process-stream-python,42,7,23,JavaScript,node2,42,7,23,JavaScript,node3,42,7,23
dynamodb-process-stream-python3,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
dynamodb-scaling-event-to-datadog,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
dynamodb-table-storage-metrics,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
dynamodb-to-s3-importer,0,1,0,JavaScript,node2,0,1,0,JavaScript,node3,0,1,0
ec2-cleanup,0,0,0,Go,node2,0,0,0,Go,node3,0,0,0
ec2-spot-interruption-logging-insights,599,63,203,Jupyter Notebook,node2,599,63,203,Jupyter Notebook,node3,599,63,203
ecr-deploy,8,1,3,Python,node2,8,1,3,Python,node3,8,1,3
ecs-svc-custom-metrics-logger,100,12,64,Python,node2,100,12,64,Python,node3,100,12,64
ecs-task-stats-logger,100,12,64,Python,node2,100,12,64,Python,node3,100,12,64
eks-auth-update-hook,61,5,26,Makefile,node2,61,5,26,Makefile,node3,61,5,26
eks-lambda-drainer,0,0,0,None,node2,0,0,0,None,node3,0,0,0
elasticsearch-cleanup,99,16,63,Python,node2,99,16,63,Python,node3,99,16,63
exif-metadata-extractor,4,1,1,Python,node2,4,1,1,Python,node3,4,1,1
exif-reader,2,1,2,Perl,node2,2,1,2,Perl,node3,2,1,2
failed-emr-info,0,1,1,Python,node2,0,1,1,Python,node3,0,1,1
ffmpeg-lambda-layer,103,10,21,JavaScript,node2,103,10,21,JavaScript,node3,103,10,21
fork-event-replay-pipeline,105,19,16,Python,node2,105,19,16,Python,node3,105,19,16
fork-event-search-analytics-pipeline,105,19,16,Python,node2,105,19,16,Python,node3,105,19,16
fork-event-storage-backup-pipeline,105,19,16,Python,node2,105,19,16,Python,node3,105,19,16
fork-example-ecommerce-checkout-api,105,19,16,Python,node2,105,19,16,Python,node3,105,19,16
fork-example-ecommerce-checkout-pipeline,105,19,16,Python,node2,105,19,16,Python,node3,105,19,16
format-splunk-aws-sns-alert,0,1,0,Python,node2,0,1,0,Python,node3,0,1,0
fqdnService,0,9,0,TypeScript,node2,0,9,0,TypeScript,node3,0,9,0
galleria,90,8,40,JavaScript,node2,90,8,40,JavaScript,node3,90,8,40
generic-webhook-to-eventbridge,18,2,2,TypeScript,node2,18,2,2,TypeScript,node3,18,2,2
generic-webhook-to-sns,3,3,0,TypeScript,node2,3,3,0,TypeScript,node3,3,3,0
getting-started-with-dynamodb-reviews-inserter,0,2,1,Python,node2,0,2,1,Python,node3,0,2,1
ghostscript-lambda-layer,5,1,0,Makefile,node2,5,1,0,Makefile,node3,5,1,0
github-codebuild-logs,29,4,5,Python,node2,29,4,5,Python,node3,29,4,5
github-webhook-slack-notifier,0,1,0,JavaScript,node2,0,1,0,JavaScript,node3,0,1,0
guardduty-log-uploader,3,1,1,Go,node2,3,1,1,Go,node3,3,1,1
hello-go-serverless-webapp,19,3,4,Go,node2,19,3,4,Go,node3,19,3,4
hello-world,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
hello-world-python,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
hello-world-python3,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
helloWorldLex,23,3,10,JavaScript,node2,23,3,10,JavaScript,node3,23,3,10
hotdog-detector,91,38,25,Python,node2,91,38,25,Python,node3,91,38,25
https-request,42,7,22,JavaScript,node2,42,7,22,JavaScript,node3,42,7,22
human-trafficking-facts,0,0,0,JavaScript,node2,0,0,0,JavaScript,node3,0,0,0
human-trafficking-goods-indicator-api,0,0,0,Python,node2,0,0,0,Python,node3,0,0,0
